"Question","Answer"
"西島隆弘の別名は何ですか？","Nissy"
"西島隆弘の生年月日は何ですか？","1986年9月30日"
"西島隆弘の出身地はどこですか？","日本・北海道札幌市"
"西島隆弘の学歴は何ですか？","青森山田高等学校"
"西島隆弘がブレイクダンスと出会ったのは何歳の時ですか？","中学2年生の時"
"西島隆弘が初めてメンバーとして選ばれたグループは何ですか？","japs"
"西島隆弘が初めて映画に出演したのは何年ですか？","2009年"
"西島隆弘が初めて主演を務めた映画の名前は何ですか？","愛のむきだし"
"西島隆弘が'Nissy'名義で初の楽曲のミュージックビデオを公開したのは何年ですか？","2013年"
"西島隆弘の「Nissyの日」は何日ですか？","2月4日"
"西島隆弘が4大ドームツアーを開催したのは何年ですか？","2018年"
"西島隆弘がInstagramを開設したのは何年ですか？","2020年"
"西島隆弘がYouTubeを開設したのは何年ですか？","2020年"
"西島隆弘が映画に出演したのは何年ぶりですか？","5年ぶり（2022年）"
"西島隆弘は何の職業ですか？","歌手、俳優、ダンサー"
"西島隆弘が初めて歌手デビューをしたのは何年ですか？","2013年"
"西島隆弘の音楽のジャンルは何ですか？","ポップとダンスミュージックの要素を融合したもの"
"西島隆弘の歌詞のテーマは何ですか？","恋愛や人生の困難さ"
